champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,winrate,cc_score
67,Vayne,2.0,2,24,13,49,28309,20505,7804,5,0,0,0,0,7367,100.0,0
202,Jhin,1.0,1,16,3,19,33766,12232,21534,2,1,0,0,0,3568,100.0,39
1,Annie,1.0,1,16,13,19,41587,26046,15541,3,1,0,0,0,1154,100.0,34
235,Senna,1.0,1,16,3,26,34153,21757,12396,1,0,0,0,0,14218,100.0,0
22,Ashe,1.0,1,10,6,24,28867,19194,9673,0,0,0,0,0,229,100.0,89
203,Kindred,1.0,1,30,11,15,43589,34687,8902,8,2,1,0,0,18563,100.0,0
145,Kaisa,1.0,1,20,8,16,33453,25190,8263,4,1,0,0,0,4840,100.0,0
523,Aphelios,1.0,1,13,7,21,28112,22217,5895,2,1,1,0,0,8036,100.0,12
254,Vi,1.0,1,11,6,18,14819,14306,513,2,1,0,0,0,3925,100.0,19
131,Diana,1.0,1,16,11,11,27354,26926,428,4,0,0,0,0,3361,100.0,10
11,MasterYi,1.0,1,11,5,18,17760,18263,-503,1,1,0,0,0,5834,100.0,0
246,Qiyana,1.0,1,11,10,13,17881,18900,-1019,2,0,0,0,0,846,100.0,0
79,Gragas,1.0,1,8,16,29,32460,36670,-4210,1,0,0,0,0,5016,100.0,44
147,Seraphine,1.0,1,3,9,37,11358,19543,-8185,0,0,0,0,0,8251,100.0,32
429,Kalista,1.0,1,10,13,27,20690,32168,-11478,0,0,0,0,0,6629,100.0,10
517,Sylas,1.0,1,7,8,19,12960,24854,-11894,0,0,0,0,0,5205,100.0,24
122,Darius,1.0,1,14,12,31,21470,33738,-12268,3,0,0,0,0,7338,100.0,26
236,Lucian,4.0,3,73,38,68,39847,26936,12911,11,4,1,0,0,5910,75.0,0
157,Yasuo,4.0,3,54,43,77,33322,25164,8157,8,0,0,0,0,3996,75.0,11
51,Caitlyn,3.0,2,47,20,77,34615,22658,11957,7,1,0,0,0,5931,66.67,8
498,Xayah,4.0,2,39,34,72,23256,24234,-978,5,1,1,0,0,5409,50.0,10
21,MissFortune,2.0,1,35,18,51,31414,23015,8399,7,3,1,0,0,3741,50.0,15
18,Tristana,2.0,1,28,23,33,31230,26968,4262,5,1,0,0,0,5627,50.0,1
107,Rengar,2.0,1,22,20,23,17687,18087,-399,4,0,0,0,0,2837,50.0,3
81,Ezreal,3.0,1,40,28,57,27269,19971,7297,8,2,0,0,0,3311,33.33,0
103,Ahri,3.0,1,22,23,52,17071,19162,-2091,4,0,0,0,0,3642,33.33,7
29,Twitch,4.0,1,66,32,77,34972,26718,8253,11,4,1,0,0,5412,25.0,5
50,Swain,3.0,0,30,40,60,33667,46415,-12747,5,1,0,0,0,10649,0.0,38
55,Katarina,2.0,0,21,20,29,30667,24788,5879,5,0,0,0,0,2211,0.0,0
121,Khazix,2.0,0,25,15,24,25804,20958,4845,6,0,0,0,0,5203,0.0,0
234,Viego,2.0,0,20,24,20,20197,31086,-10888,3,1,0,0,0,5059,0.0,17
141,Kayn,2.0,0,29,37,36,34634,47351,-12717,5,1,1,0,0,11589,0.0,26
110,Varus,1.0,0,23,12,41,65410,36879,28531,3,0,0,0,0,10134,0.0,66
777,Yone,1.0,0,17,14,31,49463,33437,16026,4,0,0,0,0,6390,0.0,30
42,Corki,1.0,0,3,10,15,24871,19172,5699,0,0,0,0,0,2972,0.0,6
80,Pantheon,1.0,0,15,15,19,28185,31132,-2947,2,0,0,0,0,2087,0.0,21
64,LeeSin,1.0,0,11,10,18,23680,27325,-3645,2,1,1,1,0,7582,0.0,0
32,Amumu,1.0,0,11,14,19,26396,32915,-6519,2,2,0,0,0,2716,0.0,0
120,Hecarim,1.0,0,3,9,19,19195,27045,-7850,0,0,0,0,0,7765,0.0,0
360,Samira,1.0,0,8,15,13,18929,27270,-8341,2,0,0,0,0,4535,0.0,0
59,JarvanIV,1.0,0,10,12,32,28570,38834,-10264,1,1,0,0,0,7646,0.0,54
